[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] POST   /block/transaction        --> server/controller.PackTransaction (3 handlers)
[GIN-debug] POST   /block/account            --> server/controller.PackAccount (3 handlers)
[GIN-debug] POST   /block/upload             --> server/controller.AppendBlock (3 handlers)
[GIN-debug] POST   /block/uploadproposal     --> server/controller.MultiCastProposal (3 handlers)
[GIN-debug] POST   /block/witness            --> server/controller.PackTransaction (3 handlers)
[GIN-debug] POST   /block/uploadleader       --> server/controller.AppendBlock (3 handlers)
[GIN-debug] GET    /shard/shardNum           --> server/controller.PreRegister (3 handlers)
[GIN-debug] GET    /shard/height             --> server/controller.GetHeight (3 handlers)
[GIN-debug] GET    /shard/register           --> server/controller.RegisterCommunication (3 handlers)
[GIN-debug] POST   /shard/vote               --> server/controller.SendVote (3 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://pkg.go.dev/github.com/gin-gonic/gin#readme-don-t-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :8088
[GIN] 2023/09/01 - 18:02:14 | 200 |     512.672µs |       127.0.0.1 | GET      "/shard/height"
[GIN] 2023/09/01 - 18:02:14 | 200 |    1.607206ms |       127.0.0.1 | POST     "/block/uploadleader"
[GIN] 2023/09/01 - 18:02:14 | 200 |     481.451µs |       127.0.0.1 | GET      "/shard/height"
[GIN] 2023/09/01 - 18:02:14 | 200 |    2.134052ms |       127.0.0.1 | POST     "/block/uploadleader"
[GIN] 2023/09/01 - 18:02:14 | 200 |     515.496µs |       127.0.0.1 | GET      "/shard/height"
[GIN] 2023/09/01 - 18:02:14 | 200 |    2.628188ms |       127.0.0.1 | POST     "/block/uploadleader"
[GIN] 2023/09/01 - 18:02:14 | 200 |     481.513µs |       127.0.0.1 | GET      "/shard/height"
[GIN] 2023/09/01 - 18:02:14 | 200 |    3.007866ms |       127.0.0.1 | POST     "/block/uploadleader"
[GIN] 2023/09/01 - 18:02:14 | 200 |     3.47221ms |       127.0.0.1 | POST     "/block/uploadleader"
[GIN] 2023/09/01 - 18:02:14 | 200 |     403.396µs |       127.0.0.1 | GET      "/shard/height"
[GIN] 2023/09/01 - 18:02:14 | 200 |    3.756221ms |       127.0.0.1 | POST     "/block/uploadleader"
[GIN] 2023/09/01 - 18:02:14 | 200 |    1.383598ms |       127.0.0.1 | GET      "/shard/height"
[GIN] 2023/09/01 - 18:02:14 | 200 |     604.751µs |       127.0.0.1 | GET      "/shard/height"
[GIN] 2023/09/01 - 18:02:14 | 200 |    4.828444ms |       127.0.0.1 | POST     "/block/uploadleader"
[GIN] 2023/09/01 - 18:02:14 | 200 |     895.744µs |       127.0.0.1 | GET      "/shard/height"
[GIN] 2023/09/01 - 18:02:14 | 200 |     721.521µs |       127.0.0.1 | GET      "/shard/height"
[GIN] 2023/09/01 - 18:02:14 | 200 |   10.746797ms |       127.0.0.1 | POST     "/block/uploadleader"
[GIN] 2023/09/01 - 18:02:14 | 200 |     585.564µs |       127.0.0.1 | GET      "/shard/height"
